Trial,Wing,Body,Weight,Time,Square
1,5,0.5,1,2.4,1
2,5,0.5,1,2.66,0
3,5,0.5,1,2.91,1
4,5,0.5,1,2.45,1
5,5,0.5,1,2.73,0
1,5,0.5,2,2.45,1
2,5,0.5,2,2.48,1
3,5,0.5,2,2.58,1
4,5,0.5,2,2.78,1
5,5,0.5,2,2.28,1
1,5,1,1,2.51,1
2,5,1,1,2.56,1
3,5,1,1,2.2,1
4,5,1,1,2.21,1
5,5,1,1,2.15,0
1,5,1,2,2.11,1
2,5,1,2,2.23,1
3,5,1,2,1.91,0
4,5,1,2,2.06,1
5,5,1,2,1.73,1
1,5.5,0.5,1,2.85,1
2,5.5,0.5,1,2.7,1
3,5.5,0.5,1,2.6,1
4,5.5,0.5,1,2.64,1
5,5.5,0.5,1,2.26,1
1,5.5,0.5,2,1.38,1
2,5.5,0.5,2,1.75,1
3,5.5,0.5,2,2.23,0
4,5.5,0.5,2,0.96,1
5,5.5,0.5,2,1.93,1
1,5.5,1,1,2.51,1
2,5.5,1,1,2.43,1
3,5.5,1,1,2.56,1
4,5.5,1,1,2.66,1
5,5.5,1,1,2.63,1
1,5.5,1,2,2.13,1
2,5.5,1,2,2.35,1
3,5.5,1,2,2.6,1
4,5.5,1,2,2.15,1
5,5.5,1,2,2.51,1
